,type,country,activity,species,month,fatal,gender,year,age,wind_speed_950mb,wind_speed_900mb,wind_speed_850mb,wind_speed_800mb,wind_speed_750mb,wind_speed_700mb,wind_speed_650mb,wind_speed_600mb,wind_speed_550mb,wind_speed_500mb,wind_speed_450mb,wind_speed_400mb,wind_speed_350mb,wind_speed_300mb,wind_speed_250mb,wind_speed_200mb,wind_direction_950mb,wind_direction_900mb,wind_direction_850mb,wind_direction_800mb,wind_direction_750mb,wind_direction_700mb,wind_direction_650mb,wind_direction_600mb,wind_direction_550mb,wind_direction_500mb,wind_direction_450mb,wind_direction_400mb,wind_direction_350mb,wind_direction_300mb,wind_direction_250mb,wind_direction_200mb,rh_950mb,rh_900mb,rh_850mb,rh_800mb,rh_750mb,rh_700mb,rh_650mb,rh_600mb,rh_550mb,rh_500mb,rh_450mb,rh_400mb,rh_350mb,rh_300mb,rh_250mb,rh_200mb,timepoint,cloudcover,highcloud,midcloud,lowcloud,temp2m,lifted_index,rh2m,msl_pressure,prec_amount,snow_depth,wind10m.speed,latitud,longitud
10,Unprovoked,australia,Swimming,White,Feb,N,F,2018.0,55.0,3.5625,3.578125,3.546875,3.515625,3.421875,3.5,3.515625,3.546875,3.65625,3.59375,3.59375,3.546875,3.5625,3.921875,4.734375,5.203125,79.921875,80.546875,101.09375,102.109375,103.828125,99.609375,106.40625,96.796875,88.90625,80.46875,82.96875,89.921875,121.953125,129.921875,139.296875,142.109375,13.890625,11.4375,8.484375,6.375,5.296875,4.46875,3.796875,3.40625,3.078125,3.375,3.375,3.203125,2.453125,1.390625,3.5625,5.84375,97.5,2.640625,-9999.0,-9999.0,-9999.0,25.875,-3.828125,10.828125,1015.9375,2.796875,0.0,3.296875,-24.7761086,134.755
11,Unprovoked,australia,Walking,Bull,Feb,N,M,2018.0,35.0,3.5625,3.578125,3.546875,3.515625,3.421875,3.5,3.515625,3.546875,3.65625,3.59375,3.59375,3.546875,3.5625,3.921875,4.734375,5.203125,79.921875,80.546875,101.09375,102.109375,103.828125,99.609375,106.40625,96.796875,88.90625,80.46875,82.96875,89.921875,121.953125,129.921875,139.296875,142.109375,13.890625,11.4375,8.484375,6.375,5.296875,4.46875,3.796875,3.40625,3.078125,3.375,3.375,3.203125,2.453125,1.390625,3.5625,5.84375,97.5,2.640625,-9999.0,-9999.0,-9999.0,25.875,-3.828125,10.828125,1015.9375,2.796875,0.0,3.296875,-24.7761086,134.755
12,Unprovoked,usa,Surfing,Tiger,Dec,N,F,2017.0,54.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
13,Unprovoked,usa,Spearfishing,White,Nov,N,M,2017.0,25.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
14,Unprovoked,australia,Surfing,Unspecified,Nov,N,M,2017.0,25.0,3.5625,3.578125,3.546875,3.515625,3.421875,3.5,3.515625,3.546875,3.65625,3.59375,3.59375,3.546875,3.5625,3.921875,4.734375,5.203125,79.921875,80.546875,101.09375,102.109375,103.828125,99.609375,106.40625,96.796875,88.90625,80.46875,82.96875,89.921875,121.953125,129.921875,139.296875,142.109375,13.890625,11.4375,8.484375,6.375,5.296875,4.46875,3.796875,3.40625,3.078125,3.375,3.375,3.203125,2.453125,1.390625,3.5625,5.84375,97.5,2.640625,-9999.0,-9999.0,-9999.0,25.875,-3.828125,10.828125,1015.9375,2.796875,0.0,3.296875,-24.7761086,134.755
15,Unprovoked,australia,Surfing,Unspecified,Oct,N,M,2017.0,31.0,3.5625,3.578125,3.546875,3.515625,3.421875,3.5,3.515625,3.546875,3.65625,3.59375,3.59375,3.546875,3.5625,3.921875,4.734375,5.203125,79.921875,80.546875,101.09375,102.109375,103.828125,99.609375,106.40625,96.796875,88.90625,80.46875,82.96875,89.921875,121.953125,129.921875,139.296875,142.109375,13.890625,11.4375,8.484375,6.375,5.296875,4.46875,3.796875,3.40625,3.078125,3.375,3.375,3.203125,2.453125,1.390625,3.5625,5.84375,97.5,2.640625,-9999.0,-9999.0,-9999.0,25.875,-3.828125,10.828125,1015.9375,2.796875,0.0,3.296875,-24.7761086,134.755
16,Unprovoked,australia,Kayaking / Fishing,White,Oct,N,F,2017.0,15.0,3.5625,3.578125,3.546875,3.515625,3.421875,3.5,3.515625,3.546875,3.65625,3.59375,3.59375,3.546875,3.5625,3.921875,4.734375,5.203125,79.921875,80.546875,101.09375,102.109375,103.828125,99.609375,106.40625,96.796875,88.90625,80.46875,82.96875,89.921875,121.953125,129.921875,139.296875,142.109375,13.890625,11.4375,8.484375,6.375,5.296875,4.46875,3.796875,3.40625,3.078125,3.375,3.375,3.203125,2.453125,1.390625,3.5625,5.84375,97.5,2.640625,-9999.0,-9999.0,-9999.0,25.875,-3.828125,10.828125,1015.9375,2.796875,0.0,3.296875,-24.7761086,134.755
17,Unprovoked,usa,Surfing,Tiger,Oct,N,M,2017.0,54.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
18,Unprovoked,usa,Snorkeling,Unspecified,Oct,N,F,2017.0,40.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
19,Invalid,usa,Surfing,Unspecified,Sep,,M,2017.0,33.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
20,Unprovoked,usa,Surfing,Unspecified,Sep,N,M,2017.0,18.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
21,Unprovoked,australia,Surfing,White,Sep,N,M,2017.0,35.0,3.5625,3.578125,3.546875,3.515625,3.421875,3.5,3.515625,3.546875,3.65625,3.59375,3.59375,3.546875,3.5625,3.921875,4.734375,5.203125,79.921875,80.546875,101.09375,102.109375,103.828125,99.609375,106.40625,96.796875,88.90625,80.46875,82.96875,89.921875,121.953125,129.921875,139.296875,142.109375,13.890625,11.4375,8.484375,6.375,5.296875,4.46875,3.796875,3.40625,3.078125,3.375,3.375,3.203125,2.453125,1.390625,3.5625,5.84375,97.5,2.640625,-9999.0,-9999.0,-9999.0,25.875,-3.828125,10.828125,1015.9375,2.796875,0.0,3.296875,-24.7761086,134.755
22,Unprovoked,australia,Surfing,White,Aug,N,M,2017.0,37.0,3.5625,3.578125,3.546875,3.515625,3.421875,3.5,3.515625,3.546875,3.65625,3.59375,3.59375,3.546875,3.5625,3.921875,4.734375,5.203125,79.921875,80.546875,101.09375,102.109375,103.828125,99.609375,106.40625,96.796875,88.90625,80.46875,82.96875,89.921875,121.953125,129.921875,139.296875,142.109375,13.890625,11.4375,8.484375,6.375,5.296875,4.46875,3.796875,3.40625,3.078125,3.375,3.375,3.203125,2.453125,1.390625,3.5625,5.84375,97.5,2.640625,-9999.0,-9999.0,-9999.0,25.875,-3.828125,10.828125,1015.9375,2.796875,0.0,3.296875,-24.7761086,134.755
23,Unprovoked,usa,SUP,White,Aug,N,M,2017.0,25.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
24,Unprovoked,usa,Swimming,Unspecified,Aug,N,M,2017.0,13.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
25,Provoked,usa,Fishing,Unspecified,Aug,N,M,2017.0,34.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
26,Invalid,usa,Swimming,Unspecified,Jul,,M,2017.0,10.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
27,Boating,usa,Kayaking,White,Jul,N,M,2017.0,40.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
28,Unprovoked,usa,SUP,White,Jul,N,M,2017.0,50.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
29,Unprovoked,usa,Swimming,Bull,Jul,N,M,2017.0,46.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
30,Unprovoked,south africa,Surfing,White,Jul,N,F,2017.0,13.0,2.5,2.359375,2.234375,2.15625,2.1875,2.140625,2.375,2.484375,2.734375,2.984375,3.546875,3.703125,4.015625,4.140625,4.53125,4.84375,150.078125,191.25,182.65625,179.296875,204.296875,222.03125,224.609375,220.703125,228.125,230.78125,232.8125,237.1875,233.828125,230.078125,223.4375,216.25,12.921875,9.71875,8.015625,8.609375,9.4375,9.8125,10.203125,8.1875,5.796875,4.78125,3.3125,2.125,2.984375,3.796875,5.21875,7.765625,97.5,6.015625,-9999.0,-9999.0,-9999.0,23.875,2.015625,10.21875,1018.859375,1.078125,0.0,2.515625,-28.8166236,24.991639
31,Unprovoked,australia,Body boarding,White,Jun,N,M,2017.0,48.0,3.5625,3.578125,3.546875,3.515625,3.421875,3.5,3.515625,3.546875,3.65625,3.59375,3.59375,3.546875,3.5625,3.921875,4.734375,5.203125,79.921875,80.546875,101.09375,102.109375,103.828125,99.609375,106.40625,96.796875,88.90625,80.46875,82.96875,89.921875,121.953125,129.921875,139.296875,142.109375,13.890625,11.4375,8.484375,6.375,5.296875,4.46875,3.796875,3.40625,3.078125,3.375,3.375,3.203125,2.453125,1.390625,3.5625,5.84375,97.5,2.640625,-9999.0,-9999.0,-9999.0,25.875,-3.828125,10.828125,1015.9375,2.796875,0.0,3.296875,-24.7761086,134.755
32,Invalid,usa,Surfing,Unspecified,May,,F,2017.0,18.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
33,Unprovoked,australia,Surfing,White,Apr,Y,F,2017.0,17.0,3.5625,3.578125,3.546875,3.515625,3.421875,3.5,3.515625,3.546875,3.65625,3.59375,3.59375,3.546875,3.5625,3.921875,4.734375,5.203125,79.921875,80.546875,101.09375,102.109375,103.828125,99.609375,106.40625,96.796875,88.90625,80.46875,82.96875,89.921875,121.953125,129.921875,139.296875,142.109375,13.890625,11.4375,8.484375,6.375,5.296875,4.46875,3.796875,3.40625,3.078125,3.375,3.375,3.203125,2.453125,1.390625,3.5625,5.84375,97.5,2.640625,-9999.0,-9999.0,-9999.0,25.875,-3.828125,10.828125,1015.9375,2.796875,0.0,3.296875,-24.7761086,134.755
34,Unprovoked,usa,Surfing,Tiger,Apr,N,M,2017.0,28.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
35,Unprovoked,usa,Swimming,Bull,Apr,N,F,2017.0,17.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
36,Unprovoked,australia,Scuba Diving,Bull,Jan,N,M,2017.0,55.0,3.5625,3.578125,3.546875,3.515625,3.421875,3.5,3.515625,3.546875,3.65625,3.59375,3.59375,3.546875,3.5625,3.921875,4.734375,5.203125,79.921875,80.546875,101.09375,102.109375,103.828125,99.609375,106.40625,96.796875,88.90625,80.46875,82.96875,89.921875,121.953125,129.921875,139.296875,142.109375,13.890625,11.4375,8.484375,6.375,5.296875,4.46875,3.796875,3.40625,3.078125,3.375,3.375,3.203125,2.453125,1.390625,3.5625,5.84375,97.5,2.640625,-9999.0,-9999.0,-9999.0,25.875,-3.828125,10.828125,1015.9375,2.796875,0.0,3.296875,-24.7761086,134.755
